LOCATION,Pays_code_iso3,Dépenses publiques santé,Espérance de vie totale,Espérance de vie en bonne santé totale
Afghanistan,AFG,1.13,59.1,50.4
Albania,ALB,9.19,76.4,66.7
Algeria,DZA,5.36,76.0,65.5
Andorra,AND,15.87,,
Angola,AGO,6.7,62.1,53.8
Antigua and Barbuda,ATG,13.99,76.9,66.5
Argentina,ARG,15.22,74.6,64.8
Armenia,ARM,6.5,73.0,64.0
Australia,AUS,20.22,83.1,70.6
Austria,AUT,16.32,81.0,69.8
Azerbaijan,AZE,4.61,72.9,64.0
Bahamas,BHS,15.77,70.4,61.5
Bahrain,BHR,8.64,74.4,64.2
Bangladesh,BGD,1.19,73.1,63.1
Barbados,BRB,8.74,76.8,66.7
Belarus,BLR,12.28,73.1,63.7
Belgium,BEL,15.19,81.5,69.8
Belize,BLZ,11.48,73.3,63.8
Benin,BEN,2.6,64.0,55.7
Bhutan,BTN,6.69,74.9,64.8
Bolivia,BOL,16.35,65.4,57.4
Bosnia and Herzegovina,BIH,14.79,74.8,65.0
Botswana,BWA,14.62,61.2,53.1
Brazil,BRA,9.0,72.4,61.8
Brunei Darussalam,BRN,6.36,76.9,67.1
Bulgaria,BGR,11.59,71.3,62.4
Burkina Faso,BFA,8.4,62.3,54.6
Burundi,BDI,4.73,64.0,55.8
Cabo Verde,CPV,16.06,73.2,63.8
Cambodia,KHM,6.99,68.9,60.6
Cameroon,CMR,3.94,61.8,54.0
Canada,CAN,19.5,81.6,69.8
Central African Republic,CAF,9.03,52.3,45.4
Chad,TCD,7.26,59.1,51.5
Chile,CHL,18.95,79.0,67.7
China,CHN,8.8,77.6,68.6
Hong Kong,HKG,,,
Macao,MAC,,,
Colombia,COL,15.72,74.5,65.0
Comoros,COM,4.74,67.5,59.0
Congo,COG,3.53,63.2,54.8
Cook Islands,COK,11.94,,
Costa Rica,CRI,25.82,78.6,67.6
Côte d'Ivoire,CIV,6.21,63.5,55.4
Croatia,HRV,13.73,76.9,66.8
Cuba,CUB,21.04,73.7,64.6
Cyprus,CYP,18.31,81.9,70.7
Czechia,CZE,16.73,77.1,66.7
Democratic People's Republic of Korea,PRK,,72.6,64.7
Democratic Republic of the Congo,COD,3.98,61.6,53.2
Denmark,DNK,17.69,81.2,70.1
Djibouti,DJI,5.15,64.9,57.0
Dominica,DMA,6.2,,
Dominican Republic,DOM,14.43,73.3,63.6
Ecuador,ECU,11.87,74.0,64.3
Egypt,EGY,7.22,69.1,60.4
El Salvador,SLV,21.22,71.7,62.2
Equatorial Guinea,GNQ,4.45,61.6,53.3
Eritrea,ERI,2.37,63.6,55.4
Estonia,EST,13.2,77.1,66.7
Eswatini,SWZ,11.35,54.6,47.5
Ethiopia,ETH,5.68,67.8,58.8
Fiji,FJI,10.33,65.5,57.7
Finland,FIN,14.82,81.5,69.9
France,FRA,15.25,81.9,70.1
Gabon,GAB,9.59,65.1,56.3
Gambia,GMB,7.48,64.2,55.8
Georgia,GEO,10.54,71.2,62.5
Germany,DEU,20.46,80.5,68.9
Ghana,GHA,7.41,66.1,57.9
Greece,GRC,8.65,79.6,68.6
Grenada,GRD,6.28,72.8,63.2
Guatemala,GTM,16.89,68.7,59.3
Guinea,GIN,5.02,61.3,53.4
Guinea-Bissau,GNB,5.16,58.6,51.5
Guyana,GUY,10.49,66.1,56.8
Haiti,HTI,4.11,62.5,53.9
Honduras,HND,14.16,69.0,60.0
Hungary,HUN,9.91,74.4,64.8
Iceland,ISL,16.54,82.6,71.4
India,IND,4.46,67.3,58.1
Indonesia,IDN,8.03,68.3,60.7
Iran,IRN,19.03,74.7,64.0
Iraq,IRQ,5.84,71.5,61.0
Ireland,IRL,22.33,81.6,70.0
Israel,ISR,13.01,81.7,70.8
Italy,ITA,11.85,82.2,70.6
Jamaica,JAM,18.96,70.1,61.7
Japan,JPN,23.42,84.5,73.4
Jordan,JOR,7.64,75.6,65.1
Kazakhstan,KAZ,10.6,70.3,61.6
Kenya,KEN,8.65,66.8,58.2
Kiribati,KIR,9.71,60.9,53.6
Kuwait,KWT,9.4,79.0,67.8
Kyrgyzstan,KGZ,7.55,72.2,63.4
Lao People's Democratic Republic,LAO,4.25,68.2,60.4
Latvia,LVA,12.06,73.2,63.8
Lebanon,LBN,15.5,74.3,63.2
Lesotho,LSO,13.12,51.5,44.6
Liberia,LBR,4.79,63.5,54.0
Libya,LBY,5.06,72.2,62.1
Lithuania,LTU,13.03,74.1,64.2
Luxembourg,LUX,11.02,82.8,71.2
Madagascar,MDG,5.74,62.9,55.1
Malawi,MWI,3.29,62.5,54.7
Malaysia,MYS,8.01,72.8,63.9
Maldives,MDV,18.17,75.4,66.7
Mali,MLI,5.69,61.7,53.6
Malta,MLT,16.21,81.8,70.7
Marshall Islands,MHL,6.65,,
Mauritania,MRT,6.28,68.9,60.4
Mauritius,MUS,9.39,73.4,63.6
Mexico,MEX,10.39,70.8,61.4
Micronesia,FSM,1.89,65.7,57.9
Monaco,MCO,12.04,,
Mongolia,MNG,9.25,70.1,61.3
Montenegro,MNE,16.25,74.7,65.1
Morocco,MAR,6.82,72.6,62.3
Mozambique,MOZ,8.04,57.7,49.7
Myanmar,MMR,2.55,67.8,59.8
Namibia,NAM,11.74,60.4,52.8
Nauru,NRU,11.83,,
Nepal,NPL,8.01,70.0,60.2
Netherlands,NLD,15.92,81.1,70.0
New Zealand,NZL,19.75,82.2,70.0
Nicaragua,NIC,17.83,75.0,64.6
Niger,NER,7.11,60.0,52.6
Nigeria,NGA,4.31,63.4,54.9
Niue,NIU,6.95,,
North Macedonia,MKD,12.36,73.0,63.7
Norway,NOR,17.75,82.9,71.2
Oman,OMN,8.31,72.5,63.2
Pakistan,PAK,5.55,66.0,56.9
Palau,PLW,9.51,,
Panama,PAN,22.23,77.2,66.7
Papua New Guinea,PNG,6.99,65.5,57.5
Paraguay,PRY,17.45,70.3,60.9
Peru,PER,16.7,71.7,63.0
Philippines,PHL,8.98,66.4,58.8
Poland,POL,10.71,75.4,65.5
Portugal,PRT,14.81,81.2,69.5
Puerto Rico,PRI,,79.9,68.8
Qatar,QAT,7.39,76.7,66.2
Republic of Korea,KOR,14.08,83.8,72.5
Republic of Moldova,MDA,12.35,69.6,61.2
Romania,ROU,11.16,72.8,63.8
Russian Federation,RUS,13.76,70.0,60.9
Rwanda,RWA,9.47,67.5,58.7
Saint Kitts and Nevis,KNA,5.91,,
Saint Lucia,LCA,9.0,71.1,61.8
Saint Vincent and the Grenadines,VCT,8.63,72.6,62.9
Samoa,WSM,15.15,70.3,61.6
San Marino,SMR,29.51,,
Sao Tome and Principe,STP,14.94,71.2,62.4
Saudi Arabia,SAU,12.81,76.4,65.6
Senegal,SEN,3.37,67.8,58.9
Serbia,SRB,13.69,72.8,63.9
Seychelles,SYC,10.18,74.0,64.7
Sierra Leone,SLE,5.2,61.0,53.1
Singapore,SGP,18.12,83.9,73.6
Slovakia,SVK,14.56,74.5,64.9
Slovenia,SVN,14.95,80.4,69.4
Solomon Islands,SLB,9.72,64.8,57.4
Somalia,SOM,2.5,54.0,47.4
South Africa,ZAF,16.89,61.5,52.8
South Sudan,SSD,2.11,58.6,50.5
Spain,ESP,15.22,82.7,71.1
Sri Lanka,LKA,9.49,77.2,66.7
Sudan,SDN,6.72,67.6,58.5
Suriname,SUR,13.12,69.8,60.3
Sweden,SWE,19.01,82.7,71.1
Switzerland,CHE,12.41,83.3,71.1
Syrian Arab Republic,SYR,7.78,72.4,62.3
Tajikistan,TJK,6.39,71.8,63.1
Thailand,THA,16.1,75.3,65.8
Timor-Leste,TLS,8.93,68.0,59.5
Togo,TGO,2.56,63.9,55.8
Tonga,TON,8.65,72.7,63.8
Trinidad and Tobago,TTO,10.92,71.7,61.9
Tunisia,TUN,11.21,74.1,63.6
Türkiye,TUR,10.05,75.3,65.2
Turkmenistan,TKM,8.46,69.1,60.8
Tuvalu,TUV,11.21,,
Uganda,UGA,4.86,66.0,57.2
Ukraine,UKR,,70.9,61.6
United Arab Emirates,ARE,12.07,78.3,67.3
United Kingdom,GBR,20.67,80.1,68.6
United Republic of Tanzania,TZA,5.14,66.8,58.1
United States of America,USA,24.74,76.4,63.9
Uruguay,URY,20.94,75.0,65.0
Uzbekistan,UZB,7.13,72.2,63.4
Vanuatu,VUT,3.89,66.3,58.7
Venezuela,VEN,6.01,71.2,62.0
Viet Nam,VNM,10.7,73.8,65.4
Yemen,YEM,2.51,65.8,56.5
Zambia,ZMB,8.89,61.0,53.0
Zimbabwe,ZWE,5.21,58.5,51.2
