LOCATION,Eating_disorders,Mental_disorders,Pays_code_iso3
Afghanistan,29.884592444815528,2244.603665049283,AFG
Albania,41.508016270032485,1747.731707311731,ALB
Algeria,55.204026036144114,2136.247787145752,DZA
American Samoa,37.54842752398322,1747.0012944473572,ASM
Andorra,108.61087372768358,2595.9571105269724,AND
Angola,35.08583501807188,2538.96186827233,AGO
Antigua and Barbuda,91.49730542503411,2260.5458036329023,ATG
Argentina,77.21390525766591,2566.0187581285577,ARG
Armenia,40.4359907516152,2087.791575570267,ARM
Australia,214.8021250103096,3087.5629604042056,AUS
Austria,116.5957344834358,2153.156884562138,AUT
Azerbaijan,44.33927513548251,1774.048921058984,AZE
Bahamas,101.0190516740056,2354.601414110397,BHS
Bahrain,73.08921807982405,2160.2844061723204,BHR
Bangladesh,37.30832414374637,2077.2647948449485,BGD
Barbados,81.60027061920746,2249.3057868557494,BRB
Belarus,46.87061298455601,1694.507324360186,BLR
Belgium,105.94413959448109,2377.903835268589,BEL
Belize,69.067609552224,2321.136340488176,BLZ
Benin,27.48833441490113,2164.3684269198284,BEN
Bermuda,131.73752448380387,2324.784349544985,BMU
Bhutan,45.92315639155474,1669.827121592611,BTN
Bolivia (Plurinational State of),82.91192900333574,2317.796399688425,
Bosnia and Herzegovina,41.66906917329222,1872.6048904848835,BIH
Botswana,44.37282554893656,1846.790062031156,BWA
Brazil,81.07899505739377,2690.635035762313,BRA
Brunei Darussalam,97.74291691552706,1967.8730582376836,BRN
Bulgaria,47.85189070288627,1668.1716723172854,BGR
Burkina Faso,25.11100564171414,2244.5319936071023,BFA
Burundi,17.93727215371255,1925.1127147557,BDI
Cabo Verde,34.98783461353155,2086.137707167547,CPV
Cambodia,26.170881522509863,1518.221853595219,KHM
Cameroon,28.440049368663257,2150.554253456532,CMR
Canada,99.13691753711392,2247.3396730730783,CAN
Central African Republic,18.336707755575866,2508.4324965458623,CAF
Chad,24.326652435935195,2375.920318172994,TCD
Chile,80.92753158229198,2752.784888984845,CHL
China,34.703564152589124,1659.271437916483,CHN
Colombia,67.25948844216593,1851.5793965967664,COL
Comoros,26.139413889825462,2049.424636808119,COM
Congo,30.96304390847749,2372.675010177661,COG
Cook Islands,49.03899278308625,1752.9670118139925,COK
Costa Rica,76.46239860370295,2069.116107517532,CRI
Croatia,52.07245992942263,1894.825672280784,HRV
Cuba,66.06390424221418,2338.223552007468,CUB
Cyprus,118.03111866833584,2590.5908548554694,CYP
Czechia,57.36605624238926,1896.7166180724464,CZE
Côte d'Ivoire,30.723934641079232,2099.3963749069367,CIV
Democratic People's Republic of Korea,23.66973720352205,1613.2063786121855,PRK
Democratic Republic of the Congo,18.883709858639147,2300.470676700444,
Denmark,115.37821624571608,2267.59906684969,DNK
Djibouti,30.92909273817964,1897.537317674586,DJI
Dominica,70.34171967570258,2220.516520052906,DMA
Dominican Republic,81.932816359145,2472.985834757161,DOM
Ecuador,96.93723823859916,2258.1193758353493,ECU
Egypt,51.487456233873736,2273.886547482666,EGY
El Salvador,62.80546176973367,1974.0345799516265,SLV
Equatorial Guinea,47.69014598442062,2285.668955918601,GNQ
Eritrea,22.35791995182139,1876.173765630091,ERI
Estonia,54.36658544385533,1703.6519397886725,EST
Eswatini,37.32341353931996,1976.6553175274703,SWZ
Ethiopia,25.143629017578164,2153.159670259535,ETH
Fiji,37.06331706279619,1671.349718902989,FJI
Finland,127.93547843515366,1993.5314930459808,FIN
France,113.42309884141628,2540.3178856912914,FRA
Gabon,45.01116009166179,2386.215806626195,GAB
Gambia,25.58950722214761,2078.288766106094,GMB
Georgia,40.66019213471651,1842.3951266544568,GEO
Germany,93.32539272937002,2269.27108898079,DEU
Ghana,32.7120598874257,2141.565511566582,GHA
Greece,100.534977007951,2828.5983602593337,GRC
Greenland,92.01594714881364,2605.4921905535084,GRL
Grenada,76.27953493562633,2255.788648337231,GRD
Guam,50.982951951398064,1761.8140293573906,GUM
Guatemala,61.626105570297824,2205.055552957938,GTM
Guinea,25.557545261354782,2213.981079032333,GIN
Guinea-Bissau,23.400059298462853,1994.848350887882,GNB
Guyana,79.17582251409979,2223.718065272998,GUY
Haiti,45.33795467682018,2333.2097429697587,HTI
Honduras,53.35560180166024,2011.613043783194,HND
Hungary,54.79830849243769,1780.6541212469251,HUN
Iceland,109.36038260084062,2617.574069260348,ISL
India,41.33189934221704,1889.754600199494,IND
Indonesia,35.385121531086966,1363.7846140915997,IDN
Iran (Islamic Republic of),62.81038261836154,2821.594813778524,
Iraq,53.763320195764464,2225.1136823041693,IRQ
Ireland,131.60138943283812,2724.201003400002,IRL
Israel,97.46822599729698,2406.871525846425,ISR
Italy,101.30128937847311,2111.011136467887,ITA
Jamaica,67.53181898564901,2239.650842272337,JAM
Japan,84.02760073959429,2050.637728893783,JPN
Jordan,47.67098885644576,2209.5417607979684,JOR
Kazakhstan,50.88203447505999,1560.5376724677783,KAZ
Kenya,29.06457106232741,1799.8239646202396,KEN
Kiribati,23.174480824617515,1821.2128321026485,KIR
Kuwait,81.03096521290782,2103.7942391242614,KWT
Kyrgyzstan,30.47830100061467,1648.523251444385,KGZ
Lao People's Democratic Republic,29.452397791148503,1357.610999645333,LAO
Latvia,51.74951898432212,1762.120571337508,LVA
Lebanon,53.52419843845164,2587.170064863409,LBN
Lesotho,25.984038538530765,1841.7983319065584,LSO
Liberia,20.3896739356249,2145.114359551419,LBR
Libya,59.61823950157152,2301.0614637918534,LBY
Lithuania,54.72002796654741,1940.817444608247,LTU
Luxembourg,134.56345784767228,2524.513366294492,LUX
Madagascar,22.85948408225365,1931.6113905275224,MDG
Malawi,22.172099274289614,1913.1978404953416,MWI
Malaysia,44.14120712962056,1664.299117280785,MYS
Maldives,35.60785115652402,1388.775320937685,MDV
Mali,24.66360875875841,2059.7104880012603,MLI
Malta,101.18459496575451,2677.744033906084,MLT
Marshall Islands,28.57448062006108,1710.3774530326723,MHL
Mauritania,31.84394530590868,1853.0716549677056,MRT
Mauritius,41.35169806243628,1683.0032267832994,MUS
Mexico,81.39056867472102,2094.7754938430744,MEX
Micronesia (Federated States of),26.044374138130884,1715.4926021317017,
Monaco,178.23313868135097,2680.92559372424,MCO
Mongolia,41.20613245418707,1719.9149350122966,MNG
Montenegro,46.16260685256864,1940.0591260566075,MNE
Morocco,46.98086740650481,2159.622220198443,MAR
Mozambique,21.34364341783085,2054.1895267990485,MOZ
Myanmar,27.516747440399143,1449.1105164684388,MMR
Namibia,38.66701225363487,1786.1903451213443,NAM
Nauru,34.238815484456914,1725.1814268256626,NRU
Nepal,33.307234462787264,1717.2473132605826,NPL
Netherlands,100.6427411774558,3271.434425590815,NLD
New Zealand,111.1420052101903,2736.8999126414437,NZL
Nicaragua,53.874044643225815,2048.0221950016803,NIC
Niger,21.542542738196836,2023.390817187248,NER
Nigeria,33.929643716856155,2140.863592742932,NGA
Niue,38.88312329574764,1750.219895290301,NIU
North Macedonia,43.34675027194047,1791.180955780462,MKD
Northern Mariana Islands,42.64921910613352,1753.9053790331968,MNP
Norway,126.34617704073057,2308.757301306347,NOR
Oman,71.78086891458828,2080.1564681099385,OMN
Pakistan,38.61302983638863,1997.5580302392937,PAK
Palau,39.25180266993381,1744.236804312959,PLW
Palestine,40.47480740548086,2334.7568649108366,
Panama,85.98495358193183,1883.070469678272,PAN
Papua New Guinea,26.265389532019597,1753.6930924729263,PNG
Paraguay,69.35619478430179,2382.193760742868,PRY
Peru,99.59415528312898,2435.9172575504954,PER
Philippines,31.6706267416556,1466.573176426197,PHL
Poland,55.68066668601679,1653.5083099981762,POL
Portugal,93.47777931407713,3021.899693177723,PRT
Puerto Rico,104.59052513137142,2512.232834478573,PRI
Qatar,95.3226209171142,1902.8555266358376,QAT
Republic of Korea,81.55147354845023,1988.50964893558,
Republic of Moldova,36.8026690633234,1821.4789078858023,MDA
Romania,50.57212067042982,1667.4642749729833,ROU
Russian Federation,52.39758407659384,1752.0786798915206,RUS
Rwanda,24.39585245790256,1961.1180442832745,RWA
Saint Kitts and Nevis,98.05732873121428,2259.3045477559576,KNA
Saint Lucia,76.00293496990258,2253.6160638866995,LCA
Saint Vincent and the Grenadines,75.0021733818643,2183.5488115676526,VCT
Samoa,30.33401725309442,1721.8326882075028,WSM
San Marino,113.95584865721894,2635.0828081960794,SMR
Sao Tome and Principe,29.577167187429737,2069.657796287342,STP
Saudi Arabia,76.655285283197,2314.577338277543,SAU
Senegal,27.84194505354294,2015.985515722627,SEN
Serbia,44.687222438379024,1900.2423002573048,SRB
Seychelles,43.08247695457848,1407.5464969304344,SYC
Sierra Leone,23.096144455581168,2112.063287961415,SLE
Singapore,106.34418179639944,1759.5042708427495,SGP
Slovakia,54.25778463469415,1743.9241936805208,SVK
Slovenia,55.05772519080064,1917.542207187407,SVN
Solomon Islands,23.559948896274104,1807.380626755853,SLB
Somalia,16.249387273698677,1865.0164543710057,SOM
South Africa,42.78460131911034,1974.2866729194,ZAF
South Sudan,21.95501173347948,2076.450958538064,SSD
Spain,120.10479504414047,2487.4605673566384,ESP
Sri Lanka,36.20736252848352,1414.8272060274132,LKA
Sudan,36.55775447247649,2212.77648563498,SDN
Suriname,78.14337043040237,2202.1130474525366,SUR
Sweden,116.02803002778232,2386.5143519454205,SWE
Switzerland,104.95426138718958,2685.4864316477765,CHE
Syrian Arab Republic,38.90848197990151,2981.617044381352,SYR
Taiwan,77.53286921905796,1556.354799865664,TWN
Tajikistan,28.83667911739931,1704.31519458588,TJK
Thailand,39.41858692373892,1296.265300333528,THA
Timor-Leste,22.854102823240385,1385.1439426839968,TLS
Togo,24.52734250227929,2487.0673339397104,TGO
Tokelau,36.264402302449305,1744.0085084360635,TKL
Tonga,31.219949370047644,2008.792477082952,TON
Trinidad and Tobago,96.7501311787443,2257.5967728451283,TTO
Tunisia,52.16290903539238,2545.6054600729403,TUN
Turkmenistan,45.951608097967686,1673.5230333958746,TKM
Tuvalu,27.448739891486355,1720.8184083427534,TUV
Türkiye,71.8830374890065,2183.1981593301034,TUR
Uganda,25.67713270968042,1962.2541261964489,UGA
Ukraine,39.41672172860186,2134.616011177849,UKR
United Arab Emirates,79.1919885936205,1995.0654184015184,ARE
United Kingdom,105.80237627099916,3216.373249759623,GBR
United Republic of Tanzania,26.86181947952797,1824.3581236266057,TZA
United States Virgin Islands,102.30782324719772,2161.5410454760777,
United States of America,62.68450039889797,2471.1788910438886,USA
Uruguay,79.42654904226544,2496.901742604983,URY
Uzbekistan,37.98511185657991,1552.6046330400948,UZB
Vanuatu,24.93814519626166,1706.5237656107877,VUT
Venezuela (Bolivarian Republic of),59.74300563690005,2180.483570908121,
Viet Nam,31.17802073127243,1282.6327241199813,VNM
Yemen,31.169489136440987,2166.6635359045345,YEM
Zambia,28.7448292463776,1995.4758030611376,ZMB
Zimbabwe,25.94449987821068,1880.185396400609,ZWE
